影视车天下第一,#genre#
🥇公众号:影视车,http://mobi.kuwo.cn/tmevideo/tme1257678.mp4
重温经典,http://mtw.so/5NPX0U
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
重温经典,http://tv.dlwmkj.com/php2021/bfy.php?id=635
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225717/index.m3u8
超级电视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225716/index.m3u8

重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D$湖南广电#
邵氏经典,https://www.goodiptv.club/douyu/4246519
邵氏经典,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519


☯️|车车央卫视v4,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回放#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv1hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$酒店源1080P#http://47.109.155.164/jd/%E5%B1%B1%E8%A5%BF.php?id=cctv1$酒店源#http://bxny.667789.cn:88/hls/1/index.m3u8$哈尔滨联通酒店标清#http://video.qd.sdu.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8$山东大学源
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://vapi.91kds.cc/live1/cqyx.m3u8?id=cctv2hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$重庆有线
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://27.40.16.70:8114/GD_CUCC/G_CCTV-5-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace$广东移动
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$超清IPv6#http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/211/2024079303.m3u8$央视频1080P
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://bxny.667789.cn:88/hls/17/index.m3u8$哈尔滨电信酒店
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://[2409:8087:5e08:24::5]:6610/000000001000/5350361928876847638/1.m3u8?Contentid=5350361928876847638&livemode=1&stbId=3&channel-id=hnbblive
CCTV16-4K,http://111.13.111.242/000000001000/5000000008000023254/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=#https://epg.pw/stream/cctv16-29.m3u8$普通4K#http://diyp.uk.to/zb/1725695663.php?id=cctv16-4k$重庆有线#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/047/2024083703.m3u8$央视频1080P#http://117.161.12.116/live/program/live/cctv16hd4k/15000000/mnf.m3u8$百视通源#http://27.222.3.214/liveali-tp4k.cctv.cn/live/CCTV16-4K.stream/playlist.m3u8$官方4K（出问题）#http://www.lebaobei.top:6868/udp/239.255.30.80:8231$甘肃电信#http://ddns.cyruslee.top:8888/udp/239.77.1.98:5146$广东电信#http://www.hn-valve.cn:8888/udp/239.76.246.230:1234$湖南电信
CCTV娱乐,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvyl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV戏曲,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvxq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV娱乐,http://110.72.76.106:8181/tsfile/live/1092_1.m3u8$广西贵港联通酒店#http://222.217.243.138:85/tsfile/live/1067_1.m3u8?key=txiptv&playlive=0&authid=0$广西玉林电信酒店
CCTV戏曲,http://110.72.76.106:8181/tsfile/live/1068_1.m3u8$广西贵港联通酒店
CCTV4（美洲）,https://hc73k3dhwo5gfkt.wcetv.com/hls/cctv4.m3u8#http://enlen.vip:4022/udp/239.200.201.181:4220$云南电信#http://sweetown.fun:4000/rtp/239.3.1.214:4220$北京联通#http://ddns.cyruslee.top:8888/udp/239.253.43.121:5146$广东电信
CCTV4（欧洲）,http://enlen.vip:4022/udp/239.200.201.180:4220$云南电信#http://sweetown.fun:4000/rtp/239.3.1.213:4220$北京联通
CCTV4K,http://47.102.200.34:18081/live/program/live/cctv4k/15000000/mnf.m3u8$百视通源#http://diyp.uk.to/zb/1725695663.php?id=cctv4k$重庆有线（暂时失效）#http://op.sev7.net:4022/udp/239.254.200.122:7266$河北电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=guangxi-dx&id=239.81.1.78:4056&apiKey=73c963d13814ce7d0e4743c5e7d033cc$广西电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&id=239.77.0.174:5146&apiKey=73c963d13814ce7d0e4743c5e7d033cc$广东电信#http://enlen.vip:4022/udp/239.200.200.202:8784$云南电信#http://www.furymax.top:85/udp/239.69.1.111:10304$湖北电信#http://dev.wugeng.cc:8686/udp/239.76.246.214:1234$湖南电信
CCTV8K,http://vapi.91kds.cc/live1/udp.m3u8?ip=jiangsu-yd&id=239.39.0.144:5140&apiKey=73c963d13814ce7d0e4743c5e7d033cc$江苏组播1#http://vapi.91kds.cc/live1/udp.m3u8?ip=jiangsu-yd&id=239.39.2.137:8137&apiKey=73c963d13814ce7d0e4743c5e7d033cc$江苏组播2#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/016/2020603421.m3u8$央视频1080P#https://tv.cry33.com/ys4k.php?id=8k$php代理源#http://[2409:8087:2001:20:2800:0:df6e:eb02]/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$已失效#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8
